VBG,NNS,TO,RBS,DT,XX,VBD,VBN,JJ,WP,CC,EX,PDT,PRP$,CD,WDT,_SP,IN,WP$,RP,NNPS,LS,WRB,JJR,FW,RBR,'',POS,ADD,VB,JJS,UH,VBZ,PRP,NN,VBP,MD,NNP,RB,depression
14,54,29,0,68,0,1,10,55,9,36,1,0,21,2,1,0,104,1,2,0,0,8,12,0,3,0,0,0,53,5,1,26,31,113,34,7,8,63,1
0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,1,0,1
13,13,4,0,24,0,1,7,17,1,10,0,0,5,2,1,0,26,0,0,0,0,1,2,0,1,0,0,0,15,1,0,10,19,30,17,4,1,26,1
0,2,0,0,5,0,1,1,2,2,1,1,0,0,0,1,0,8,0,1,0,0,2,1,0,0,0,0,0,4,1,0,3,5,8,1,4,1,3,1
1,5,4,0,7,0,0,2,3,0,3,0,0,2,1,0,0,11,0,0,0,0,0,3,0,0,0,0,0,8,0,1,4,6,8,4,0,1,2,1
7,12,6,0,25,0,11,3,15,1,10,0,0,1,1,1,0,36,0,0,0,0,1,2,0,0,0,1,0,19,1,1,12,28,38,10,5,7,23,1
4,12,3,0,7,0,0,1,11,1,6,0,0,1,0,2,0,17,0,2,0,0,4,0,0,1,0,0,0,11,0,0,3,13,7,13,2,0,18,1
6,3,6,0,24,0,7,5,13,1,12,0,0,3,1,1,0,25,0,1,0,0,2,1,0,1,0,0,0,10,0,2,6,25,26,15,1,0,20,1
8,11,3,0,21,0,16,6,13,0,16,0,0,6,0,1,0,28,0,3,0,0,1,2,0,1,0,0,0,6,1,0,4,28,22,7,3,4,24,1
0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1
1,1,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,2,1,1,0,1,1
4,3,3,0,6,0,1,0,6,1,3,0,0,1,0,0,0,11,0,1,0,0,2,0,0,0,0,0,0,12,0,0,2,10,8,4,3,0,13,1
1,4,2,0,10,0,3,0,3,1,4,0,1,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,7,8,6,1,1,8,1
4,7,6,0,18,0,28,4,13,1,10,0,1,10,4,0,0,29,0,3,0,0,2,1,0,0,0,0,0,12,0,1,4,38,31,2,5,4,21,1
4,14,3,0,11,0,1,1,10,3,5,0,0,2,0,2,0,22,0,0,0,0,2,0,0,1,0,0,0,15,1,1,3,17,13,10,7,0,16,1
0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,2,1,0,0,1
4,4,2,0,4,0,0,2,2,1,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,5,0,0,4,3,4,1,2,0,10,1
0,0,1,0,2,0,0,0,4,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,4,3,1,0,4,1
3,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,3,0,0,4,1
1,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,7,0,1,3,1,1
1,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,4,0,0,4,1
3,5,2,0,15,0,5,2,9,1,7,0,1,6,0,1,0,16,0,1,0,0,0,0,0,1,0,0,0,7,1,2,3,14,16,4,1,0,22,1
2,2,2,0,5,0,0,1,3,1,1,0,0,1,1,0,0,9,0,1,0,0,2,2,0,0,0,0,0,6,0,0,3,9,6,3,2,0,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,2,3,0,5,0,3,2,4,1,4,0,0,1,1,0,0,7,0,1,0,0,0,0,0,1,0,0,0,8,0,1,1,9,10,5,0,1,8,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,1
0,0,2,0,3,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,5,0,2,3,6,4,3,0,0,3,1
0,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,4,2,2,0,0,2,1
5,16,8,0,19,0,0,4,11,1,7,0,0,2,0,0,1,26,0,0,0,0,2,1,0,0,0,0,0,17,1,0,6,10,31,6,6,3,18,1
1,2,2,0,0,0,0,0,1,0,3,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,9,0,6,0,1,4,1
1,4,1,0,4,0,0,3,4,3,0,1,0,2,1,1,0,7,0,1,0,0,1,0,0,0,0,0,0,3,0,0,6,5,7,2,1,0,5,1
3,5,0,0,7,0,2,1,5,0,4,0,0,1,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,2,0,3,3,8,5,6,1,9,10,1
